station,Date,Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar_radiation,Next_Tmax,Next_Tmin
1,2013-06-30,28.7,21.4,58.25568771,91.11636353,28.07410146,23.00693617,6.818886966,69.45180527,0.233947471,0.20389571,0.161696854,0.130928198,0.0,0.0,0.0,0.0,37.6046,126.991,212.335,2.785,5992.895996,29.1,21.2
2,2013-06-30,31.9,21.6,52.26339722,90.60472107,29.85068856,24.03500932,5.691889932,51.93744783,0.225508198,0.251771373,0.159444059,0.127727264,0.0,0.0,0.0,0.0,37.6046,127.032,44.7624,0.5141,5869.3125,30.5,22.5
3,2013-06-30,31.6,23.3,48.69047928,83.97358704,30.09129171,24.56563342,6.138223678,20.57304966,0.209343664,0.257469446,0.204091465,0.14212525,0.0,0.0,0.0,0.0,37.5776,127.058,33.3068,0.2661,5863.555664,31.1,23.9
4,2013-06-30,32.0,23.4,58.23978806,96.48368835,29.7046289,23.32617729,5.650050263,65.72714393,0.216372027,0.226002422,0.16115741,0.134248676,0.0,0.0,0.1492946584117647,0.0,37.645,127.022,45.716,2.5348,5856.964844,31.7,24.3
5,2013-06-30,31.4,21.9,56.17409515,90.15512848,29.11393432,23.48647993,5.735004306,107.9655353,0.151406899,0.249995278,0.178892475,0.170020995,0.0,0.0,0.0,0.0,37.5507,127.135,35.038,0.5055,5859.552246,31.2,22.5
6,2013-06-30,31.9,23.5,52.43712616,85.30725098,29.21934227,23.8226129,6.182295263,50.23138913,0.185278777,0.280817986,0.232840977,0.146362898,0.0,0.0,0.0,0.0,37.5102,127.042,54.6384,0.1457,5873.780762,31.5,24.0
7,2013-06-30,31.4,24.4,56.28718948,81.01976013,28.55185865,24.23846712,8.209924160266006,125.110007,0.389600243,0.333569981,0.270418989,0.145705371,0.0,0.0,0.0,0.0,37.5776,126.838,12.37,0.0985,5849.233398,30.9,23.4
8,2013-06-30,32.1,24.019624413145543,52.32621765,78.00453949,28.85198158,23.81905389,6.104417304,42.01154665,0.357856423,0.344928144,0.272387332,0.143840614,0.0,0.0,0.0,0.0,37.4697,126.91,52.518,1.5629,5863.992188,31.1,22.9
9,2013-06-30,31.4,24.019624413145543,55.33879089,80.78460693,28.4269752,23.33237339,6.017135074,85.11097145,0.408765723,0.344800274,0.26497959,0.148911073,0.0,0.0,0.0,0.0,37.4967,126.826,50.9312,0.4125,5876.901367,31.3,21.6
10,2013-06-30,31.6,24.019624413145543,56.65120316,86.84963226,27.57670489,22.52701832,6.518841068,63.00607544,0.348292483,0.306254824,0.245254185,0.135443459,0.0,0.0,0.0,0.0,37.4562,126.955,208.507,5.1782,5893.608398,30.5,21.0
11,2013-06-30,31.7,24.019624413145543,51.15639496,85.38563538,29.69472429,24.43264603,6.411812464,55.69031231,0.175333607,0.281865702,0.211470522,0.29974117123819094,0.0,0.0,0.1492946584117647,0.0,37.5372,127.085,28.7,0.6233,5864.000977,31.2,24.5
12,2013-06-30,31.6,22.2,51.28834915,80.3380127,28.93631368,24.36594852,6.423992604,28.71928795,0.251017448,0.25629401,0.182101953,0.131399843,0.0,0.0,0.0,0.0,37.5507,126.988,132.118,0.5931,5924.328613,32.6,22.2
13,2013-06-30,32.1,23.8,48.76792908,84.00816345,29.92927163,24.2817497,5.988360584,32.03944751,0.183449507,0.271462449,0.22561654,0.166153553,0.0,0.0,0.0,0.0,37.5776,127.083,59.8324,2.6865,5861.027344,31.4,24.3
14,2013-06-30,31.3,23.8,50.74573517,74.49880981,29.49852619,24.45942658,6.319477777,16.83561063,0.357665275,0.323948845,0.241907531,0.150746298,0.0,0.0,0.0,0.0,37.4967,126.927,30.968,0.618,5857.949707,31.7,22.9
15,2013-06-30,32.5,23.6,51.77339172,72.99923706,29.6401032,25.15290854,6.360547493,32.27512177,0.301712876,0.302602134,0.191007179,0.145542468,0.0,0.0,0.0,0.0,37.5507,126.937,30.0464,0.8552,5866.655762,30.8,22.8
16,2013-06-30,30.7,21.4,56.84833908,84.40817261,28.47651747,23.69515104,8.209924160266006,83.417605,0.277754578,0.287272772,0.246364056,0.134321159,0.0,0.0,0.0,0.0,37.4697,126.995,82.2912,2.2579,5861.383301,30.8,20.9
17,2013-06-30,32.1,20.1,54.35250092,93.21831512,29.32152511,23.03616269,5.497786959,97.97143806,0.151997618,0.2361992,0.195431031,0.149973047,0.0,0.0,0.0,0.0,37.6181,127.099,53.4712,0.697,5872.376465,31.5,21.1
18,2013-06-30,32.8,23.8,56.14470673,88.36473084,28.67617461,23.44816492,5.665434659,81.93827105,0.190920499,0.293773562,0.264063894,0.138920351,0.0,0.0,0.0,0.0,37.4832,127.024,56.4448,1.2313,5864.952637,33.1,23.9
19,2013-06-30,31.4,22.8,52.26592636,75.48375702,29.27366832,24.97015091,6.359285822,36.33996852,0.276464701,0.295129102,0.1885057,0.140354342,0.0,0.0,0.0,0.0,37.5776,126.938,75.0924,1.7678,5893.578125,31.8,21.6
20,2013-06-30,30.9,24.019624413145543,61.49383545,95.24523163,28.50298868,23.03153859,6.814791689,70.16693582,0.199887615,0.190157051,0.138435317,0.123160086,0.0,0.0,0.0,0.0,37.6181,127.004,146.554,4.7296,5932.124023,30.8,23.0
21,2013-06-30,32.0,23.6,49.57604599,81.60166931,29.97619602,24.83710706,6.413321187,14.79612086,0.200845365,0.253855393,0.207180081,0.148090805,0.0,0.0,0.0,0.0,37.5507,127.04,26.298,0.5721,5859.321777,30.6,24.0
22,2013-06-30,32.2,23.9,54.51245499,88.52469635,29.18887005,23.80135221,6.020389636,88.0782094,0.179405619,0.268662387,0.223249274,0.29974117123819094,0.0,0.0,0.0,0.0,37.5102,127.086,21.9668,0.1332,5852.904297,32.6,23.7
23,2013-06-30,32.7,24.4,54.70558548,75.91982269,28.85798067,24.73371051,6.01961568,90.83848906,0.346090207,0.350199357,0.225512718,0.148332835,0.0,0.0,0.0,0.0,37.5372,126.891,15.5876,0.1554,5851.387695,31.8,23.4
24,2013-06-30,31.5,25.0,52.07278442,73.69394684,29.34425186,24.8568064,6.222672025,49.00751964,0.342294439,0.346846606,0.213114563,0.150828614,0.0,0.0,0.1492946584117647,0.0,37.5237,126.909,17.2956,0.2223,5850.358887,31.3,23.7
25,2013-06-30,32.5,24.2,50.27460861,75.52501678,29.96375331,24.97286375,8.209924160266006,23.34217552,0.283318426,0.289609929,0.20345857,0.142098386,0.0,0.0,0.0,0.0,37.5237,126.97,19.5844,0.2713,5855.09375,32.0,24.2
1,2013-01-07,28.3,21.2,72.79857636,97.64279175,25.27671609,21.14256154,15.60804504,64.9149458,0.615612061,0.843198535,0.81045519,0.62203974,0.804222465,9.933111086,0.237004317,0.848081543,37.6046,126.991,212.335,2.785,5987.71875,24.8,18.7
2,2013-01-07,30.5,22.9,65.73069,92.9493866,27.4375227,22.71301977,11.3918136,70.69303322,0.617177998,0.901149031,0.763317317,0.59106463,0.464744457,11.83342134,0.253719132,1.513873922,37.6046,127.032,44.7624,0.5141,5863.956055,27.3,21.5
3,2013-01-07,30.3,24.5,62.74357605,90.56828308,28.37812286,23.09748616,11.70179192,78.72146373,0.606684894,0.890558138,0.765460797,0.601785302,0.543196224,11.49145773,0.271108305,2.75996574,37.5776,127.058,33.3068,0.2661,5858.20166,28.1,21.8
4,2013-01-07,31.0,24.5,64.03771494966634,97.6300354,26.44499556,22.18528437,12.58601775,67.37863513,0.583464041,0.842180119,0.760137955,0.587809867,0.444243838,9.090755264,0.261195129,3.192251516,37.645,127.022,45.716,2.5348,5851.575195,27.9,21.5
5,2013-01-07,30.8,24.019624413145543,64.03771494966634,94.36520386,27.01157324,23.10447276,12.4243956,105.3035129,0.598722628,0.880431728,0.723178472,0.618996355,0.3401134,9.16058205,0.258917118,3.395695708,37.5507,127.135,35.038,0.5055,5854.146973,28.2,22.2
6,2013-01-07,31.0,24.1,65.52217102,91.15923309,27.68082395,22.96795835,12.50106831,100.761024,0.574738029,0.872533172,0.755782352,0.630178305,1.195706706,6.931812486,0.1492946584117647,2.898612668,37.5102,127.042,54.6384,0.1457,5868.374512,28.9,22.3
7,2013-01-07,30.5,23.6,73.59443665,93.41606903,26.43266819,22.53118843,13.28583898,122.1333132,0.609439574,0.772702514,0.735475224,0.562952298,0.562011714,5.486298877,0.200886746,0.604448318,37.5776,126.838,12.37,0.0985,5843.853516,27.6,21.2
8,2013-01-07,31.0,23.1,66.70443726,92.33698273,26.90571545,22.55986447,12.79457045,82.40053471,0.61058641,0.754831716,0.744900927,0.572974157,2.244908027,5.686821675,0.1492946584117647,2.262280668,37.4697,126.91,52.518,1.5629,5858.525879,28.2,23.87390557939914
9,2013-01-07,30.5,21.7,72.05588531,93.54278564,26.21290971,22.07256857,13.74926058,75.83857814,0.583443453,0.782615826,0.693510368,0.29974117123819094,1.487056633,6.840253832,0.1492946584117647,2.030875172,37.4967,126.826,50.9312,0.4125,5871.54541,27.1,21.0
10,2013-01-07,30.0,21.1,68.92158508,95.18622589,25.39379117,21.40504664,13.52658719,79.97903705,0.564918566,0.759817389,0.698832018,0.29974117123819094,1.836138883,5.555646589,0.202441586,2.291009799,37.4562,126.955,208.507,5.1782,5887.616211,27.5,20.7
11,2013-01-07,30.6,24.8,64.81935883,90.86804962,28.29515651,23.26524654,11.86145327,97.13036982,0.592851182,0.901467755,0.747132619,0.61098487,0.755655935,8.225176022,0.258947051,3.231347817,37.5372,127.085,28.7,0.6233,5858.687012,28.9,22.5
12,2013-01-07,32.0,22.2,65.32542419,91.7294693,27.05757991,22.25981928,12.75320748,78.85335139,0.591133791,0.884395195,0.753662088,0.608417702,1.283185939,9.217300966,0.269399904,2.649243699,37.5507,126.988,132.118,0.5931,5918.901367,26.8,19.8
13,2013-01-07,30.9,24.8,64.03771494966634,91.00751495,28.25579447,23.09450999,11.32779938,80.92581185,0.61063285,0.901055456,0.772177123,0.29974117123819094,0.414610125,11.41392718,0.27150146,3.012929015,37.5776,127.083,59.8324,2.6865,5855.550293,28.7,22.3
14,2013-01-07,30.8,22.9,64.03771494966634,90.97425079,27.54244583,22.96480134,12.71481027,87.93994443,0.608516007,0.786750561,0.744027155,0.580589002,2.208438436,6.472261953,0.201511736,2.362143854,37.4967,126.927,30.968,0.618,5852.552734,27.9,21.5
15,2013-01-07,30.1,23.1,64.74150085,90.71553802,27.65093472,22.8512939,12.39907449,84.72494555,0.604812905,0.841032642,0.773757719,0.575775379,1.631393143,8.088325985,0.239776726,2.388285343,37.5507,126.937,30.0464,0.8552,5861.348633,27.1,20.7
16,2013-01-07,29.9,21.4,71.29189301,93.21128082,26.48378545,22.36288073,12.66935344,90.76669808,0.573985394,0.780090889,0.67324281,0.29974117123819094,1.636845416,5.644781488,0.227548543,2.677204739,37.4697,126.995,82.2912,2.2579,5855.75293,27.5,20.8
17,2013-01-07,30.6,21.6,70.13705444,93.94486237,26.42537665,22.67139004,10.64090391,68.66905109,0.651011611,0.875306425,0.775181164,0.595345108,0.228985962,11.94178899,0.271362552,1.724580045,37.6181,127.099,53.4712,0.697,5866.985352,27.8,21.7
18,2013-01-07,31.5,24.2,64.03771494966634,92.01984406,26.77985404,22.57419142,11.7315524,88.6230851,0.546151646,0.83427918,0.709808024,0.576097224,1.397540348,5.649839563,0.247749299,2.877794122,37.4832,127.024,56.4448,1.2313,5859.464355,29.2,22.1
19,2013-01-07,30.8,21.9,64.03771494966634,91.57623291,27.2091226,22.37903369,8.209924160266006,76.92165367,0.61712407,0.845477949,0.773260607,0.59379469,1.397049006,8.44128814,0.210697087,1.39347655,37.5776,126.938,75.0924,1.7678,5888.26709,27.1,20.5
20,2013-01-07,30.5,23.2,76.48796844,99.19757843,25.69746664,21.45831616,18.04368989,55.81011232,0.601877564,0.82754615,0.822289606,0.614560506,0.63164312,10.07633339,0.254713086,1.371297081,37.6181,127.004,146.554,4.7296,5926.908691,27.3,20.7
21,2013-01-07,30.5,24.3,64.03771494966634,91.54259491,28.36324414,23.1688291,11.89693717,82.01732894,0.601481146,0.858259993,0.767106242,0.29974117123819094,0.886908944,10.05140224,0.283085242,2.948905339,37.5507,127.04,26.298,0.5721,5853.975098,28.2,21.7
